Row.names,p1p1x.x,p2p2x.x,h_cgvc.x,ang_NHs.x,ang_CHs.x,dist_NC.x,dist_NH.x,dist_CH.x,h_scvc.x,h_norm.x,h_sc_x.x,n_psi.x,r_curv.x,r3r3x.x,dfg,V16,V17,source,V19,p1p1x.y,p2p2x.y,h_cgvc.y,ang_NHs.y,ang_CHs.y,dist_NC.y,dist_NH.y,dist_CH.y,h_scvc.y,h_norm.y,h_sc_x.y,n_psi.y,r_curv.y,r3r3x.y
1FMK_A,0.097381684427637,0.075448213465267,-0.177483440035943,0.280601569029351,0.293375636733886,-0.103868307795466,0.369386874575524,0.395301013071602,-0.197490684814246,-0.232241649744418,-0.0611552699589975,0.15902048088189,0.0233658715062329,0.0617524941690794,di,co,1,training,co-di,0.914938613,0.886154899,0.502287996,82.11775982,69.13322319,8.614002228,14.19355297,12.62196159,0.490730004,0.34275482,0.970933828,97.59475234,0.026639833,0.895001829
1FMO_E,0.144256217101291,0.135420436696635,0.0921492942228062,-0.162482756044323,-0.0979728879650421,-0.0796217049003022,-0.165642183390979,-0.166218748323744,0.0854938778326987,0.156532132927964,0.0190034305239394,0.0966230824343222,-0.0110351886005592,0.11580861992812,di,ci,0.9995,test,ci-di,0.994611466,0.991272254,0.989020328,29.3225386,21.71329676,9.086890221,6.843818665,7.753299713,0.99430632,0.999257904,0.999345808,96.13689994,0.01882663,0.990424808
1FPU_A,-0.887120551425831,-0.910256906211173,0.0768195520958996,-0.0465244664387583,-0.0695423390338644,0.0561162702215997,-0.120235433389565,0.0738354863827409,0.0859473476434284,0.0491289115187905,0.00102584309237654,0.0623525046561178,-0.0251882967278355,-0.806030262625566,do,ci,0.9935,test,ci-do,-0.758424244,-0.841556855,0.961347571,43.13941996,25.15824277,11.73422432,7.467574596,9.834692001,0.995113278,0.817891389,0.992973713,95.33620239,0.015612162,-0.636858152
1FQ1_B,0.142747129471009,0.13909677114395,0.0661200576172572,-0.0419150329826716,-0.175134971981904,-0.00551230727840797,-0.0253237663508423,-0.167178911153633,0.0830061534585067,0.0636305662139934,-0.00509288935408357,-0.290662956782559,-0.00421384652207361,0.110722917571719,di,ci,0.9755,test,ci-di,0.992046463,0.997716013,0.942033188,43.68865189,12.36352254,10.53226566,8.771383286,7.744974613,0.989879368,0.842379617,0.990804949,87.08835151,0.0203759,0.981447234
1FVR_A,-0.541019789042997,-0.727513323983611,0.0375536890185213,-0.0443970580208689,0.310634130477873,0.0731640829754405,-0.0479566246295487,0.166541052252336,0.0320578853073052,0.0580104924331658,0.00727639792929872,0.329170570678379,-0.0500402528420997,-0.372250347572817,other,ot,0.8015,test,omega,-0.170155229,-0.52124987,0.890466099,43.39290895,71.22444483,12.06671238,8.460474014,10.6384964,0.899215973,0.832889276,0.995189201,101.5701379,0.009967761,0.128875077
1FVT_A,0.044396744241322,-0.0550112154694027,-0.45802460668937,0.491188690796277,0.437029007077513,-0.0284803694145878,0.490166148043371,0.453967462525155,-0.506077072525527,-0.510078427301198,-0.0626485526665003,0.0983268566765429,-0.0363421048562525,0.0124643777306046,di,co,0.9985,test,co-di,0.824879873,0.657489871,-0.004135887,107.2100347,86.53978492,10.08431339,15.85270691,13.13062954,-0.058405238,-0.126414423,0.970404539,96.17670691,0.013078898,0.807995614
1FVV_A,0.138594516414274,0.134886963729955,0.0734663818413008,-0.132357243647537,-0.132153552055797,-0.0346612949059029,-0.171970576655124,-0.189479447562488,0.0742698883348851,0.13490444520268,0.0176420097050898,0.0640428569633205,0.0211503475735695,0.118333590994892,di,ci,1,test,ci-di,0.984988248,0.9903372,0.955294536,32.91211061,17.57160598,9.963765144,6.756885052,7.551617622,0.974333021,0.962736296,0.998863257,95.37569577,0.026136641,0.994882032
1G3N_A,-0.823847515134577,-0.887721447686168,-0.118658020315759,0.169319474443061,0.181537717590262,0.00139143164296226,0.210947078077902,0.368956727797606,-0.0613158525823365,-0.051748792441171,-0.0168334923985601,0.255594124346537,-0.0289098857427793,-0.765196544697243,do,co,1,training,co-do,-0.650878781,-0.802057439,0.60847775,68.85806529,55.58175803,10.66691113,12.0170536,12.39354324,0.733055662,0.647544193,0.986643532,99.8510983,0.014766911,-0.564776127
1G5S_A,0.081366112083771,0.0917153289738854,-0.37022971512621,0.407296065845495,0.396606132537862,-0.0555216009922915,0.414353445645616,0.476531041060542,-0.43753661030892,-0.414620563871534,-0.0412693500098113,0.0850718533101381,0.0124168352880614,0.0781478114149245,di,co,1,training,co-di,0.887716873,0.914667368,0.154348625,97.21390204,81.6417219,9.556921005,14.81126213,13.32626724,0.063563795,0.034780556,0.977982325,95.8670171,0.024153077,0.923943785
1GAG_A,0.146336445782064,0.139526886411941,0.0640360962357725,-0.0251606512410843,-0.113078987480212,0.0109898507661568,-0.125751677052209,-0.272153156849569,0.0783235367018388,0.0880227150902859,0.00872779844806736,-0.236149233764196,-0.0101523728132601,0.11804683452292,di,ci,0.993,test,ci-di,0.99814724,0.998469905,0.938271288,45.68500166,19.88288197,10.85411167,7.391797543,6.834794521,0.981546564,0.883569434,0.995703645,88.36200977,0.019027136,0.994375833
1GIH_A,0.123582051389348,0.10481534019525,-0.446325419001315,0.468275935828461,0.415374886651799,-0.0540444358278439,0.447524427056932,0.583336190671505,-0.514384785812275,-0.483379902562178,-0.0582039200023808,0.170198576874093,0.00496128059524053,0.098335869475971,di,co,0.9045,test,co-di,0.959471494,0.93762864,0.01698311,104.4798908,83.91594266,9.585730553,15.26693439,14.2523222,-0.073188969,-0.081329943,0.971979924,97.8559173,0.022459764,0.959580905
1GII_A,0.0579512169888483,-0.000461058081930016,-0.471240454483547,0.478211503131463,0.440506331783407,-0.0381114527047221,0.461015821679498,0.490978854550142,-0.414354984618223,-0.513408181234611,-0.0344074760314336,0.136300138818922,-0.0166187719239885,0.0256396173707838,di,co,0.9975,test,co-di,0.847918471,0.753103606,-0.02799271,105.6637523,86.96113436,9.896475792,15.45226669,13.45153713,0.104815931,-0.132037214,0.980414493,97.06391442,0.017558481,0.831253304
1GIJ_A,0.0913797104706864,0.085352154204921,-0.50817168862495,0.527053274626241,0.465600741934064,-0.0631033616707263,0.50354361885041,0.569497944658367,-0.53985513937123,-0.494913387299693,-0.0673816914013473,0.148768738519018,0.0512421583304113,0.0631210429848719,di,co,0.9775,test,co-di,0.904737031,0.903514203,-0.094659785,111.4834394,90.00183851,9.409051895,16.03647423,14.13233757,-0.118513939,-0.100805969,0.968726894,97.3552307,0.032971123,0.89741767
1GNG_A,0.144425324733849,0.136562457624821,0.0951400771154535,-0.144198586236223,-0.0972966891531786,-0.0667792824038705,-0.181197882457327,-0.0343540040622329,0.0875576448708127,0.130812458398329,0.0165929518642045,0.251708033523427,0.0137873382660899,0.116750983318241,di,ci,0.992,test,ci-di,0.994898899,0.993273951,0.994419193,31.50116857,21.79523216,9.337359428,6.63012886,8.896634102,0.997978832,0.95582636,0.998491422,99.7603037,0.024464347,0.992088322
1GOL_A,0.146896409007077,0.138473259416746,0.0722393679373422,-0.11247973308523,-0.107271231594725,0.0694665980100248,-0.00159526820829879,-0.211617417843155,0.0716639460391247,0.134549230809839,0.0186573135206456,-0.227027029047045,-0.0150132048119575,0.116629884268718,di,ci,0.963,test,ci-di,0.999099012,0.996623142,0.95307957,35.28059333,20.5866111,11.99459934,9.097343445,7.359670162,0.969695698,0.962136463,0.999223128,88.5751409,0.017923139,0.991874551
